Feature,Importance
Methemoglobin_min,0.03272046
lactate_min,0.028990291
AST (SGOT)_max,0.020815957
paCO2_std,0.019530386
heartrate_max,0.017053667
RDW_mean,0.016591366
troponin - T_std,0.016095458
noninvasivediastolic_count,0.013199163
lipase_min,0.01247649
paO2_mean,0.012371641
PTT_min,0.011965901
LPM O2_mean,0.011611009
PTT_mean,0.011307128
heartrate_mean,0.009751143
AST (SGOT)_mean,0.009638992
Temperature_mean,0.00947214
PT_max,0.0094189765
PTT_max,0.009389196
Base Deficit_std,0.009360782
systemicmean_mean,0.009061725
temperature_std,0.008948052
TV_min,0.008862168
Digoxin_min,0.008680571
HCO3_min,0.00832797
-bands_mean,0.007943193
lipase_mean,0.0077519845
bicarbonate_min,0.007403947
systemicmean_min,0.007261143
Base Excess_std,0.007130228
O2 Content_mean,0.0070597758
Vent Rate_min,0.007027907
Methemoglobin_max,0.0069881864
RDW_min,0.0069522816
BUN_max,0.0066399896
noninvasivediastolic_max,0.006627748
FiO2_max,0.0065743625
TSH_min,0.006489337
TV_mean,0.0064882543
creatinine_max,0.0064227507
temperature_min,0.0064022252
ethnicity_African American,0.0063149566
Vancomycin - random_mean,0.0061911084
ionized calcium_mean,0.0061527123
noninvasivesystolic_count,0.0059958054
BUN_mean,0.005927056
-polys_mean,0.005859766
troponin - I_std,0.005682021
amylase_mean,0.005549597
Methemoglobin_std,0.005457594
-eos_min,0.005401204
platelets x 1000_std,0.0053640413
ethanol_mean,0.005316089
Base Excess_max,0.005238532
-basos_min,0.0052202656
systemicdiastolic_mean,0.005124532
Total CO2_max,0.005106591
temperature_max,0.0050568106
-eos_mean,0.0050423755
troponin - I_min,0.0050385613
LPM O2_min,0.0049727787
FiO2_min,0.0049692015
age,0.004920149
Ferritin_mean,0.004801359
CPK-MB_max,0.0047627473
BUN_min,0.004745987
gender_Female,0.0046729995
O2 Content_std,0.0046674632
troponin - T_min,0.0044795317
Digoxin_mean,0.0044251727
-lymphs_max,0.0043962877
PT_min,0.004331501
pH_min,0.004303203
heartrate_count,0.004289717
Base Excess_min,0.004263926
Oxyhemoglobin_min,0.004263593
Total CO2_min,0.0041639786
Pressure Support_mean,0.0040243533
platelets x 1000_min,0.0040101223
direct bilirubin_min,0.0039838483
noninvasivesystolic_mean,0.0039508245
systemicdiastolic_std,0.003842171
ionized calcium_min,0.0038316608
systemicmean_cv,0.0037989246
O2 Sat (%)_min,0.0037771643
respiration_mean,0.0036814136
O2 Content_min,0.0036354808
MPV_std,0.0036267824
chloride_std,0.003615713
FiO2_mean,0.0035842834
troponin - I_mean,0.0035506615
PT - INR_min,0.003530351
