Feature,SHAP Importance
AST (SGOT)_mean,0.014195659538449252
lactate_min,0.013925982724975907
FiO2_max,0.01259471543875343
paCO2_std,0.011826177893041356
AST (SGOT)_max,0.01179244678319442
BUN_max,0.01122666934466095
BUN_mean,0.010460127220008235
BUN_min,0.010160073650405114
heartrate_mean,0.009679931223263789
PTT_mean,0.009520799348182523
RDW_min,0.009444123205265192
AST (SGOT)_min,0.00909525112093362
FiO2_mean,0.008996133645355661
PTT_max,0.008787977555457568
heartrate_max,0.00865459579918947
respiration_mean,0.008381311109292102
pH_min,0.008071390120214392
lactate_mean,0.007851521565301531
PTT_min,0.007468524236244725
RDW_max,0.0070801415189385595
age,0.006726946617069781
paCO2_max,0.006555099834124549
PT - INR_min,0.006401367083065832
RDW_mean,0.006082206957579686
PT_min,0.00600052550290523
Base Excess_mean,0.005714256548371505
PT_mean,0.0056560615057429965
PT_max,0.005378290716534684
pH_std,0.005363312709511156
creatinine_min,0.005318914744805022
-lymphs_mean,0.005295544328179226
Base Excess_min,0.005294823482630422
creatinine_mean,0.004875628582517784
noninvasivesystolic_count,0.004829821307840617
noninvasivediastolic_max,0.004825878781750074
creatinine_max,0.004789741939870749
noninvasivesystolic_min,0.004731370775555447
respiration_min,0.004544705909217336
FiO2_min,0.004468718970711869
albumin_min,0.004453908415848302
noninvasivesystolic_mean,0.00440467210446308
WBC x 1000_min,0.004362056963901311
noninvasivediastolic_count,0.004215312224963233
noninvasivesystolic_cv,0.004052457518437893
-lymphs_min,0.003944131275561699
-lymphs_max,0.0039018872542338373
noninvasivemean_count,0.003781218150244888
heartrate_std,0.003621326596432144
total protein_mean,0.0036078143583005203
albumin_mean,0.0035952362787481395
WBC x 1000_max,0.003548045331147633
TV_min,0.003538597459315563
WBC x 1000_mean,0.0034831996981963694
heartrate_min,0.0033968538681040687
bicarbonate_min,0.0033803316006757503
bedside glucose_max,0.003195335189044083
total bilirubin_mean,0.00316667906809779
ALT (SGPT)_mean,0.0031539293608182435
pH_mean,0.0030699275839255347
heartrate_count,0.003028846339649332
-polys_max,0.002996556425439891
RBC_max,0.002971560763314462
total bilirubin_max,0.0029080596216514193
Base Excess_max,0.0028940380476020337
-eos_min,0.002781047985656205
respiration_max,0.00276600172220887
bicarbonate_mean,0.002652294008560202
TV_max,0.002651128802091363
-eos_mean,0.002643960671322899
bedside glucose_mean,0.002584033808126549
noninvasivemean_max,0.002573000522124037
lactate_max,0.0025720066866481853
albumin_max,0.0024801893905687157
gender_Female,0.0024717875653736524
sao2_min,0.0023687121941879203
gender_Male,0.0023405198016657725
bicarbonate_max,0.0023240190212176727
FiO2_std,0.002317009064611831
-basos_min,0.0022459097041024525
platelets x 1000_min,0.0022200582603102304
platelets x 1000_max,0.0022115724993896206
respiration_count,0.00215929387333557
O2 Sat (%)_std,0.002146551937799646
paCO2_mean,0.0021378743165540804
noninvasivemean_cv,0.0021175289320407714
TV_mean,0.002084255471081933
-eos_max,0.002073939297916092
total protein_min,0.0020556980951419645
noninvasivediastolic_cv,0.002045202226486071
platelets x 1000_mean,0.0020166439653153583
-polys_mean,0.001961667567762168
ALT (SGPT)_max,0.0019425864965501361
respiration_cv,0.0018760224033509926
noninvasivemean_mean,0.001843885494757012
total protein_max,0.001834753994200933
RBC_mean,0.001834589550413743
creatinine_std,0.0018177860680311944
lactate_std,0.0018157949780706751
-basos_mean,0.00171991245896662
RBC_min,0.0016595781289140499
noninvasivemean_std,0.0016283044947923765
noninvasivediastolic_std,0.0016057419484544397
Hgb_max,0.0015846577097637672
-basos_max,0.001550542952753074
sao2_count,0.001479436261959047
Carboxyhemoglobin_min,0.001448217925773488
PT - INR_max,0.0014479328558923792
paCO2_min,0.0014443493809016595
PT - INR_mean,0.0014264894569415785
MCHC_min,0.0013840445878397381
MCH_mean,0.001371037854962478
bedside glucose_min,0.0013541995598098614
calcium_mean,0.0013494405298515794
WBC x 1000_std,0.001323520852457573
paO2_std,0.0013028041948013375
ALT (SGPT)_min,0.0013026825927699723
Hgb_mean,0.001288562736052464
MCV_std,0.001271733498469185
troponin - I_mean,0.0012635573483356405
paO2_min,0.0012375186949591006
noninvasivesystolic_std,0.0012262022471615137
anion gap_mean,0.0012069422408277836
calcium_std,0.0011963024544551545
MCV_min,0.0011819569045279628
Methemoglobin_min,0.0011777850877424802
sao2_max,0.0011693890983740618
MCHC_mean,0.0011649235813526839
pH_max,0.0011647797958134443
total bilirubin_min,0.0011482584775370042
Total CO2_std,0.0011436680886265666
MCV_mean,0.0011262450975408039
noninvasivemean_min,0.0011088556231787306
glucose_std,0.0011023734498753846
Methemoglobin_mean,0.0010859071911803449
PTT_std,0.0010834013648958617
anion gap_min,0.0010820885783033932
calcium_min,0.0010434420201305952
Methemoglobin_max,0.00103456769539944
noninvasivediastolic_min,0.0010285319990811677
urinary specific gravity_mean,0.0010263221431592675
magnesium_max,0.0010118215907275999
sao2_std,0.0009991249449817182
platelets x 1000_std,0.000996633701749586
calcium_max,0.0009905269111386299
noninvasivesystolic_max,0.0009887423100838552
HCO3_mean,0.0009705995223868082
paO2_max,0.0009619824992563186
-monos_mean,0.0009567510536644323
sao2_cv,0.0009478732597776829
HCO3_std,0.0009379484097887956
admissionweight,0.0009348683732213827
troponin - I_max,0.0009278386004471023
-monos_min,0.0009222242400975061
-bands_min,0.0009165233144062898
MCH_max,0.0009126575299958625
Hct_mean,0.0009125351596516126
MCH_min,0.0009021801576563677
HCO3_max,0.000899105605234046
paO2_mean,0.0008910087249398321
troponin - I_min,0.0008866873908421776
O2 Sat (%)_mean,0.0008820546477143934
respiration_std,0.0008632494523180754
anion gap_std,0.0008596784773706727
-polys_min,0.0008586319502722324
Hct_max,0.000851963405775121
MPV_min,0.0008397509108979806
MCHC_max,0.0008370605049684307
-bands_max,0.0008230445147787814
chloride_mean,0.0008198195064164115
chloride_min,0.0008194962926296829
O2 Sat (%)_min,0.0008133935751449037
MCV_max,0.0008101627578146065
noninvasivediastolic_mean,0.0008087173674643526
MPV_mean,0.0007917029219213556
systemicdiastolic_count,0.0007903508684759524
systemicsystolic_max,0.0007701751202485415
Hgb_min,0.0007637492251310486
glucose_min,0.0007617519573933425
Hct_min,0.0007524869877844639
glucose_max,0.000734329616808216
MPV_max,0.0007101939014026361
sodium_max,0.0007039921565562904
-bands_mean,0.0007037049466791476
systemicsystolic_mean,0.0007028390790678823
-monos_max,0.0006950236555512724
Total CO2_max,0.000682605972146129
sodium_std,0.000681917485649777
ethnicity_African American,0.000676448219385954
sao2_mean,0.0006710463006692349
heartrate_cv,0.0006651067278623321
chloride_max,0.0006617632130514775
chloride_std,0.0006603648264713723
sodium_min,0.0006581323916879043
PT - INR_std,0.0006526400633896002
TSH_min,0.0006371715021468672
Total CO2_mean,0.0006300048615037293
systemicsystolic_count,0.000627282318599204
sodium_mean,0.0006224018052622538
systemicmean_count,0.0006185406528347085
systemicmean_std,0.0006091190398768748
Base Deficit_max,0.0005932334935650488
phosphate_mean,0.0005894378875668279
bedside glucose_std,0.0005852492805652229
urinary specific gravity_max,0.000585064901810864
magnesium_mean,0.0005803009098968065
glucose_mean,0.0005719426525849379
HCO3_min,0.0005610761882207863
TSH_mean,0.0005499270880428067
Base Deficit_mean,0.0005482992967457297
alkaline phos._mean,0.00054097162299282
anion gap_max,0.0005285504100874778
Hgb_std,0.0005050429510327984
TSH_max,0.0005049536426114478
Total CO2_min,0.0005034325097679228
